Nombre del producto o servicio,Nombre de la variante,Categoría,SKU,Cantidad,Moneda,Monto,Precio de costo,Utilidad,Margen
AGUA VITAL (600ML),Agua con gas,AMERICAN PRIME BURGER,,1,CLP,"1500,00",,,
AGUA VITAL (600ML),Agua sin Gas,AMERICAN PRIME BURGER,,4,CLP,"6000,00",,,
AGUA VITAL 600ML,Agua con gas,AÇAÍ PRIME,,2,CLP,"3000,00",,,
AGUA VITAL 600ML,Agua con gas,AMERICAN PRIME BURGER,,2,CLP,"3000,00",,,
AGUA VITAL 600ML,Agua sin Gas,AMERICAN PRIME BURGER,,3,CLP,"4500,00",,,
AGUA VITAL 600ML,Agua sin Gas,AÇAÍ PRIME,,6,CLP,"8700,00",,,
AGUA VITAL 600ML - Agua con gas,,AÇAÍ PRIME,,35,CLP,"48000,00",,,
AGUA VITAL 600ML - Agua con gas,,,,2,CLP,"3000,00",,,
AGUA VITAL 600ML - Agua con gas,,AMERICAN PRIME BURGER,,12,CLP,"18000,00",,,
AGUA VITAL 600ML - Agua con gas,,,,11,CLP,"16500,00",,,
AGUA VITAL 600ML - Agua sin Gas,,,,35,CLP,"52500,00",,,
AGUA VITAL 600ML - Agua sin Gas,,AMERICAN PRIME BURGER,,17,CLP,"25500,00",,,
AGUA VITAL 600ML - Agua sin Gas,,AÇAÍ PRIME,,112,CLP,"165450,00",,,
AGUA VITAL 600ML - Agua sin Gas,,,,6,CLP,"9000,00",,,
AÇAÍ LARGE (470 ML),AÇAÍ CLÁSICO,AÇAÍ PRIME,,15,CLP,"142476,00",,,
AÇAÍ LARGE (470 ML),AÇAÍ ZERO,AÇAÍ PRIME,,4,CLP,"39104,00",,,
AÇAÍ LARGE (470 ML),MIXTO AÇAÍ + DRAGON FRUIT,AÇAÍ PRIME,,10,CLP,"94688,00",,,
AÇAÍ LARGE (470 ML) - AÇAÍ CLÁSICO,,AÇAÍ PRIME,,186,CLP,"1797152,00",,,
AÇAÍ LARGE (470 ML) - AÇAÍ CLÁSICO,,,,28,CLP,"274100,00",,,
AÇAÍ LARGE (470 ML) - AÇAÍ ZERO,,AÇAÍ PRIME,,63,CLP,"698584,00",,,
AÇAÍ LARGE (470 ML) - AÇAÍ ZERO,,,,9,CLP,"97900,00",,,
AÇAÍ LARGE (470 ML) - DRAGON FRUIT,,,,5,CLP,"50530,00",,,
AÇAÍ LARGE (470 ML) - DRAGON FRUIT,,AÇAÍ PRIME,,12,CLP,"114400,00",,,
